Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
09-Nov-15,7788.25,7937.75,7771.7,7915.2,218422388,9376.17
10-Nov-15,7877.6,7885.1,7772.85,7783.35,170267413,7153.47
11-Nov-15,7838.8,7847.95,7819.1,7825,22380435,1123.44
13-Nov-15,7762.45,7775.1,7730.9,7762.25,165876819,7731.55
16-Nov-15,7732.95,7838.85,7714.15,7806.6,154134885,6871.15
17-Nov-15,7848.75,7860.45,7793,7837.55,149451211,6367.14
18-Nov-15,7823.15,7843.4,7725.05,7731.8,148037721,6112.32
19-Nov-15,7788.5,7854.9,7765.45,7842.75,136702518,7410.15
20-Nov-15,7841.9,7906.95,7817.8,7856.55,156610433,7298.01
23-Nov-15,7869.5,7877.5,7825.2,7849.25,130871603,6099.09
24-Nov-15,7837,7870.35,7812.65,7831.6,134562905,6686.27
26-Nov-15,7837.15,7897.1,7832,7883.8,226632193,11054.04
27-Nov-15,7910.6,7959.3,7879.45,7942.7,154863047,7068.72
30-Nov-15,7936.25,7966,7922.8,7935.25,223041699,15368.67
01-Dec-15,7958.15,7972.15,7934.15,7954.9,142945421,6796.67
02-Dec-15,7976.7,7979.3,7910.8,7931.35,130207404,6242.53
03-Dec-15,7902.3,7912.3,7853.3,7864.15,129628400,5636.41
04-Dec-15,7817.6,7821.4,7775.7,7781.9,157231681,7758.36
07-Dec-15,7816.55,7825.4,7746.05,7765.4,141893279,6403.97
08-Dec-15,7738.5,7771.25,7685.45,7701.7,139318392,5986.06
09-Dec-15,7695.5,7702.85,7606.9,7612.5,144315690,6599.6
10-Dec-15,7643.3,7691.95,7610,7683.3,145249292,6492.02
11-Dec-15,7699.6,7703.05,7575.3,7610.45,172996480,6894.44
14-Dec-15,7558.2,7663.95,7551.05,7650.05,153492615,6290.42
15-Dec-15,7659.15,7705,7625.1,7700.9,138479057,6152.14
16-Dec-15,7725.25,7776.6,7715.75,7750.9,159149338,6703.76
17-Dec-15,7783.05,7852.9,7737.55,7844.35,181256780,7367.15
18-Dec-15,7828.9,7836.15,7753.35,7761.95,197319843,8074.5
21-Dec-15,7745.65,7840.75,7733.45,7834.45,130174102,5558.38
22-Dec-15,7829.4,7846.3,7776.85,7786.1,129633328,5028.11
23-Dec-15,7830.45,7871.45,7826.1,7865.95,121480721,4663.45
24-Dec-15,7888.75,7888.75,7835.5,7861.05,96374245,3383.99
28-Dec-15,7863.2,7937.2,7863,7925.15,126737811,5755.48
29-Dec-15,7929.2,7942.15,7902.75,7928.95,116535971,4950.36
30-Dec-15,7938.6,7944.75,7889.85,7896.25,110145855,4392.87
31-Dec-15,7897.8,7955.55,7891.15,7946.35,155645098,6780.85
01-Jan-16,7938.45,7972.55,7909.8,7963.2,64843836,2613.91
04-Jan-16,7924.55,7937.55,7781.1,7791.3,138864905,5897.08
05-Jan-16,7828.4,7831.2,7763.25,7784.65,149672973,5948.51
06-Jan-16,7788.05,7800.95,7721.2,7741,151715828,6722.17
07-Jan-16,7673.35,7674.95,7556.6,7568.3,194732861,7803.21
08-Jan-16,7611.65,7634.1,7581.05,7601.35,162348690,6753.57
11-Jan-16,7527.45,7605.1,7494.35,7563.85,194836791,7327.15
12-Jan-16,7587.2,7588.3,7487.8,7510.3,168975973,7071.48
13-Jan-16,7557.9,7590.95,7425.8,7562.4,221908258,9585.17
14-Jan-16,7467.4,7604.8,7443.8,7536.8,206988549,9246.75
15-Jan-16,7561.65,7566.5,7427.3,7437.8,203643071,8279.07
18-Jan-16,7420.35,7463.65,7336.4,7351,240798183,8431.56
19-Jan-16,7381.8,7462.75,7364.15,7435.1,194068339,7038.84
20-Jan-16,7357,7470.9,7241.5,7309.3,232614141,8794.16
21-Jan-16,7376.65,7398.7,7250,7276.8,248113284,9401.16
22-Jan-16,7355.7,7433.4,7327.6,7422.45,236282061,7666.39
25-Jan-16,7468.75,7487.15,7421.2,7436.15,168202502,5910.99
27-Jan-16,7469.6,7477.9,7419.7,7437.75,193389891,6834.77
28-Jan-16,7426.5,7468.85,7409.6,7424.65,283036298,10049.88
29-Jan-16,7413.35,7575.65,7402.8,7563.55,307934042,11277.33
01-Feb-16,7589.5,7600.45,7541.25,7555.95,206645021,8209.5
02-Feb-16,7566.65,7576.3,7428.05,7455.55,237338907,8030.99
03-Feb-16,7392.45,7419.4,7350.3,7361.8,197863301,6748.17
04-Feb-16,7411.45,7457.05,7365.95,7404,229563364,7465.35
05-Feb-16,7418.25,7503.15,7406.65,7489.1,257518899,8628.24
08-Feb-16,7489.7,7512.55,7363.2,7387.25,176758985,5746.45
09-Feb-16,7303.95,7323.45,7275.15,7298.2,218730280,7415.13
10-Feb-16,7264.3,7271.85,7177.75,7215.7,254481339,8129.65
11-Feb-16,7203.6,7208.65,6959.95,6976.35,301302956,9250.27
12-Feb-16,7023.65,7034.8,6869,6980.95,344210729,11062.63
15-Feb-16,7057.35,7182.8,7056.8,7162.95,365217073,10204.34
16-Feb-16,7201.25,7204.65,7037.7,7048.25,261607451,7638.39
17-Feb-16,7058.85,7123.7,6960.65,7108.45,268017961,7686.32
18-Feb-16,7177.4,7215.1,7127.85,7191.75,254331498,8051.51
19-Feb-16,7170.55,7226.85,7145.95,7210.75,198206480,6156.58
22-Feb-16,7208.85,7252.4,7200.7,7234.55,159162842,5832.89
23-Feb-16,7240.3,7241.7,7090.7,7109.55,200396978,6433.16
24-Feb-16,7075,7090.8,7009.75,7018.7,205898417,6497.18
25-Feb-16,7029.85,7034.2,6961.4,6970.6,291932544,9090.16
26-Feb-16,7039.3,7052.9,6985.1,7029.75,213142575,6880.96
29-Feb-16,7050.45,7094.6,6825.8,6987.05,487969285,15992.15
01-Mar-16,7038.25,7235.5,7035.1,7222.3,283561570,9896.58
02-Mar-16,7321.7,7380.35,7308.15,7368.85,348965708,10983.06
03-Mar-16,7429.55,7483.95,7406.05,7475.6,287248532,9255.43
04-Mar-16,7505.4,7505.9,7444.1,7485.35,290441230,8135.06
08-Mar-16,7486.4,7527.15,7442.15,7485.3,264945393,8417.86
09-Mar-16,7436.1,7539,7424.3,7531.8,252709391,9036.29
10-Mar-16,7545.35,7547.1,7447.4,7486.15,231584305,8875.92
11-Mar-16,7484.85,7543.95,7460.6,7510.2,204806572,7558.55
14-Mar-16,7542.6,7583.7,7515.05,7538.75,172067214,6330.45
15-Mar-16,7535.85,7545.2,7452.8,7460.6,199653871,7577.78
